Merge #	Pair (bytes)	Pair (decoded)	Result (hex)
143	(20, 4c)	( , L)	204c
144	(64, 73)	(d, s)	6473
145	(6f, 79)	(o, y)	6f79
146	(75, 67)	(u, g)	7567
147	(66, 75)	(f, u)	6675
148	(67, 6f)	(g, o)	676f
149	(74, 6c)	(t, l)	746c
150	(6f, 6c)	(o, l)	6f6c
151	(70, 79)	(p, y)	7079
152	(4c, 69)	(L, i)	4c69
153	(64, 69)	(d, i)	6469
154	(6e, 63)	(n, c)	6e63
155	(20, 42)	( , B)	2042
156	(77, 68)	(w, h)	7768
157	(61, 76)	(a, v)	6176
158	(20, 6b)	( , k)	206b
159	(65, 63)	(e, c)	6563
160	(20, 4d)	( , M)	204d
161	(54, 6f)	(T, o)	546f
162	(27, 73)	(', s)	2773
163	(6d, 69)	(m, i)	6d69
164	(77, 6f)	(w, o)	776f
165	(61, 6b)	(a, k)	616b
166	(66, 65)	(f, e)	6665
167	(70, 61)	(p, a)	7061
168	(66, 69)	(f, i)	6669
169	(72, 74)	(r, t)	7274
170	(73, 69)	(s, i)	7369
171	(2e, 22)	(., ")	2e22
172	(67, 69)	(g, i)	6769
173	(6f, 76)	(o, v)	6f76
174	(6e, 79)	(n, y)	6e79
175	(65, 77)	(e, w)	6577
176	(79, 65)	(y, e)	7965
177	(73, 6d)	(s, m)	736d
178	(6f, 70)	(o, p)	6f70
179	(69, 6b)	(i, k)	696b
180	(49, 74)	(I, t)	4974
181	(67, 61)	(g, a)	6761
182	(70, 69)	(p, i)	7069
183	(68, 74)	(h, t)	6874
184	(21, 22)	(!, ")	2122
185	(6b, 69)	(k, i)	6b69
186	(65, 6d)	(e, m)	656d
187	(67, 72)	(g, r)	6772
188	(74, 73)	(t, s)	7473
189	(75, 63)	(u, c)	7563
190	(61, 67)	(a, g)	6167
191	(6d, 79)	(m, y)	6d79
192	(75, 65)	(u, e)	7565
193	(70, 72)	(p, r)	7072
194	(79, 73)	(y, s)	7973
195	(6f, 64)	(o, d)	6f64
196	(65, 76)	(e, v)	6576
197	(72, 73)	(r, s)	7273
198	(6c, 70)	(l, p)	6c70
199	(6e, 69)	(n, i)	6e69
200	(72, 6b)	(r, k)	726b
201	(65, 69)	(e, i)	6569
202	(61, 75)	(a, u)	6175
203	(20, 41)	( , A)	2041
204	(66, 61)	(f, a)	6661
205	(73, 6b)	(s, k)	736b
206	(63, 6c)	(c, l)	636c
207	(53, 61)	(S, a)	5361
208	(63, 69)	(c, i)	6369
209	(69, 76)	(i, v)	6976
210	(20, 6a)	( , j)	206a
211	(73, 75)	(s, u)	7375
212	(53, 75)	(S, u)	5375
213	(4d, 61)	(M, a)	4d61
214	(66, 6c)	(f, l)	666c
215	(72, 6c)	(r, l)	726c
216	(61, 62)	(a, b)	6162
217	(72, 72)	(r, r)	7272
218	(42, 75)	(B, u)	4275
219	(70, 75)	(p, u)	7075
220	(62, 6c)	(b, l)	626c
221	(6e, 6b)	(n, k)	6e6b
222	(73, 73)	(s, s)	7373
223	(6e, 6e)	(n, n)	6e6e
224	(72, 6e)	(r, n)	726e
225	(6e, 73)	(n, s)	6e73
226	(62, 72)	(b, r)	6272
227	(65, 78)	(e, x)	6578
228	(72, 75)	(r, u)	7275
229	(3f, 22)	(?, ")	3f22
230	(75, 64)	(u, d)	7564
231	(74, 75)	(t, u)	7475
232	(77, 6e)	(w, n)	776e
233	(69, 61)	(i, a)	6961
234	(42, 65)	(B, e)	4265
235	(73, 70)	(s, p)	7370
236	(6b, 6e)	(k, n)	6b6e
237	(75, 6d)	(u, m)	756d
238	(73, 63)	(s, c)	7363
239	(27, 74)	(', t)	2774
240	(63, 72)	(c, r)	6372
241	(74, 79)	(t, y)	7479
242	(61, 78)	(a, x)	6178
243	(6f, 73)	(o, s)	6f73
244	(65, 70)	(e, p)	6570
245	(6c, 74)	(l, t)	6c74
246	(67, 73)	(g, s)	6773
247	(20, 4f)	( , O)	204f
248	(68, 75)	(h, u)	6875
249	(57, 68)	(W, h)	5768
250	(6c, 6b)	(l, k)	6c6b
251	(79, 69)	(y, i)	7969
252	(6d, 70)	(m, p)	6d70
253	(64, 72)	(d, r)	6472
254	(6f, 63)	(o, c)	6f63
255	(6f, 69)	(o, i)	6f69
256	(6c, 73)	(l, s)	6c73
257	(6d, 6d)	(m, m)	6d6d
258	(69, 66)	(i, f)	6966
259	(66, 74)	(f, t)	6674
260	(63, 74)	(c, t)	6374
261	(41, 6e)	(A, n)	416e
262	(64, 64)	(d, d)	6464
263	(6a, 75)	(j, u)	6a75
264	(59, 6f)	(Y, o)	596f
265	(20, 57)	( , W)	2057
266	(6f, 62)	(o, b)	6f62
267	(65, 66)	(e, f)	6566
268	(74, 63)	(t, c)	7463
269	(4d, 6f)	(M, o)	4d6f
270	(75, 69)	(u, i)	7569
271	(4d, 69)	(M, i)	4d69
272	(53, 70)	(S, p)	5370
273	(6d, 75)	(m, u)	6d75
274	(6c, 75)	(l, u)	6c75
275	(64, 79)	(d, y)	6479
276	(6b, 73)	(k, s)	6b73
277	(61, 66)	(a, f)	6166
278	(6f, 78)	(o, x)	6f78
279	(69, 6f)	(i, o)	696f
280	(66, 66)	(f, f)	6666
281	(63, 79)	(c, y)	6379
282	(6f, 61)	(o, a)	6f61
283	(53, 6f)	(S, o)	536f
284	(67, 67)	(g, g)	6767
285	(20, 46)	( , F)	2046
286	(72, 6d)	(r, m)	726d
287	(20, 4a)	( , J)	204a
288	(6d, 62)	(m, b)	6d62
289	(76, 69)	(v, i)	7669
290	(73, 77)	(s, w)	7377
291	(20, 59)	( , Y)	2059
292	(4c, 75)	(L, u)	4c75
293	(62, 79)	(b, y)	6279
294	(71, 75)	(q, u)	7175
295	(72, 70)	(r, p)	7270
296	(2c, 22)	(,, ")	2c22
297	(73, 6c)	(s, l)	736c
298	(42, 6f)	(B, o)	426f
299	(64, 6e)	(d, n)	646e
300	(48, 69)	(H, i)	4869
301	(63, 75)	(c, u)	6375
302	(57, 65)	(W, e)	5765
303	(6b, 79)	(k, y)	6b79
304	(4c, 65)	(L, e)	4c65
305	(6a, 6f)	(j, o)	6a6f
306	(20, 44)	( , D)	2044
307	(62, 62)	(b, b)	6262
308	(65, 6f)	(e, o)	656f
309	(78, 63)	(x, c)	7863
310	(6c, 77)	(l, w)	6c77
311	(78, 70)	(x, p)	7870
312	(e2, 80)	(e2, 80)	e280
313	(72, 66)	(r, f)	7266
314	(69, 70)	(i, p)	6970
315	(68, 72)	(h, r)	6872
316	(4e, 6f)	(N, o)	4e6f
317	(67, 6c)	(g, l)	676c
318	(44, 6f)	(D, o)	446f
319	(59, 65)	(Y, e)	5965
320	(20, 45)	( , E)	2045
321	(43, 61)	(C, a)	4361
322	(6e, 6c)	(n, l)	6e6c
323	(68, 79)	(h, y)	6879
324	(46, 72)	(F, r)	4672
325	(41, 6d)	(A, m)	416d
326	(6f, 65)	(o, e)	6f65
327	(73, 6e)	(s, n)	736e
328	(41, 73)	(A, s)	4173
329	(4a, 61)	(J, a)	4a61
330	(20, 43)	( , C)	2043
331	(76, 6f)	(v, o)	766f
332	(64, 6c)	(d, l)	646c
333	(73, 79)	(s, y)	7379
334	(7a, 65)	(z, e)	7a65
335	(65, 67)	(e, g)	6567
336	(6c, 66)	(l, f)	6c66
337	(74, 77)	(t, w)	7477
338	(49, 6e)	(I, n)	496e
339	(79, 6d)	(y, m)	796d
340	(45, 76)	(E, v)	4576
341	(75, 62)	(u, b)	7562
342	(72, 67)	(r, g)	7267
343	(20, 71)	( , q)	2071
344	(44, 61)	(D, a)	4461
345	(69, 7a)	(i, z)	697a
346	(70, 74)	(p, t)	7074
347	(0a, 0a)	(
, 
)	0a0a
348	(77, 6c)	(w, l)	776c
349	(6b, 61)	(k, a)	6b61
350	(67, 75)	(g, u)	6775
351	(79, 61)	(y, a)	7961
352	(6e, 75)	(n, u)	6e75
353	(6d, 73)	(m, s)	6d73
354	(73, 71)	(s, q)	7371
355	(78, 74)	(x, t)	7874
356	(4b, 69)	(K, i)	4b69
357	(75, 66)	(u, f)	7566
358	(27, 6d)	(', m)	276d
359	(69, 78)	(i, x)	6978
360	(4a, 6f)	(J, o)	4a6f
361	(72, 63)	(r, c)	7263
362	(20, 4b)	( , K)	204b
363	(64, 75)	(d, u)	6475
364	(61, 7a)	(a, z)	617a
365	(46, 69)	(F, i)	4669
366	(20, 50)	( , P)	2050
367	(70, 73)	(p, s)	7073
368	(41, 66)	(A, f)	4166
369	(77, 72)	(w, r)	7772
370	(20, 4e)	( , N)	204e
371	(41, 74)	(A, t)	4174
372	(79, 75)	(y, u)	7975
373	(4c, 6f)	(L, o)	4c6f
374	(66, 79)	(f, y)	6679
375	(6b, 6c)	(k, l)	6b6c
376	(46, 6c)	(F, l)	466c
377	(75, 61)	(u, a)	7561
378	(70, 68)	(p, h)	7068
379	(20, 52)	( , R)	2052
380	(65, 68)	(e, h)	6568
381	(79, 74)	(y, t)	7974
382	(7a, 7a)	(z, z)	7a7a
383	(79, 62)	(y, b)	7962
384	(80, 9d)	(80, 9d)	809d
385	(80, 9c)	(80, 9c)	809c
386	(57, 6f)	(W, o)	576f
387	(76, 61)	(v, a)	7661
388	(77, 73)	(w, s)	7773
389	(41, 6c)	(A, l)	416c
390	(67, 6e)	(g, n)	676e
391	(20, e2)	(20, e2)	20e2
392	(20, 47)	( , G)	2047
393	(64, 76)	(d, v)	6476
394	(6a, 65)	(j, e)	6a65
395	(6f, 68)	(o, h)	6f68
396	(42, 69)	(B, i)	4269
397	(20, 7a)	( , z)	207a
398	(6e, 6a)	(n, j)	6e6a
399	(7a, 69)	(z, i)	7a69
400	(7a, 79)	(z, y)	7a79
401	(68, 6e)	(h, n)	686e
402	(64, 6d)	(d, m)	646d
403	(64, 62)	(d, b)	6462
404	(65, 62)	(e, b)	6562
405	(69, 62)	(i, b)	6962
406	(4d, 72)	(M, r)	4d72
407	(6a, 61)	(j, a)	6a61
408	(78, 65)	(x, e)	7865
409	(80, 99)	(80, 99)	8099
410	(4a, 75)	(J, u)	4a75
411	(79, 77)	(y, w)	7977
412	(72, 62)	(r, b)	7262
413	(52, 65)	(R, e)	5265
414	(4a, 69)	(J, i)	4a69
415	(64, 67)	(d, g)	6467
416	(4a, 65)	(J, e)	4a65
417	(63, 63)	(c, c)	6363
418	(65, 6b)	(e, k)	656b
419	(6c, 6d)	(l, m)	6c6d
420	(75, 79)	(u, y)	7579
421	(61, 68)	(a, h)	6168
422	(47, 6f)	(G, o)	476f
423	(22, 2e)	(", .)	222e
424	(4f, 6b)	(O, k)	4f6b
425	(76, 79)	(v, y)	7679
426	(7a, 6f)	(z, o)	7a6f
427	(43, 6f)	(C, o)	436f
428	(6c, 63)	(l, c)	6c63
429	(27, 72)	(', r)	2772
430	(75, 7a)	(u, z)	757a
431	(47, 72)	(G, r)	4772
432	(6e, 66)	(n, f)	6e66
433	(4f, 68)	(O, h)	4f68
434	(57, 69)	(W, i)	5769
435	(78, 69)	(x, i)	7869
436	(6e, 76)	(n, v)	6e76
437	(50, 6c)	(P, l)	506c
438	(48, 6f)	(H, o)	486f
439	(6c, 76)	(l, v)	6c76
440	(67, 79)	(g, y)	6779
441	(65, 7a)	(e, z)	657a
442	(45, 6d)	(E, m)	456d
443	(43, 68)	(C, h)	4368
444	(50, 65)	(P, e)	5065
445	(72, 76)	(r, v)	7276
446	(7a, 61)	(z, a)	7a61
447	(53, 74)	(S, t)	5374
448	(4f, 4b)	(O, K)	4f4b
449	(52, 6f)	(R, o)	526f
450	(42, 6c)	(B, l)	426c
451	(4d, 79)	(M, y)	4d79
452	(6d, 66)	(m, f)	6d66
453	(20, 5a)	( , Z)	205a
454	(21, e2)	(21, e2)	21e2
455	(4d, 75)	(M, u)	4d75
456	(2e, e2)	(2e, e2)	2ee2
457	(20, 2d)	( , -)	202d
458	(4c, 61)	(L, a)	4c61
459	(6c, 62)	(l, b)	6c62
460	(45, 6c)	(E, l)	456c
461	(4f, 6c)	(O, l)	4f6c
462	(62, 73)	(b, s)	6273
463	(50, 61)	(P, a)	5061
464	(6e, 62)	(n, b)	6e62
465	(27, 6c)	(', l)	276c
466	(49, 66)	(I, f)	4966
467	(70, 6b)	(p, k)	706b
468	(68, 64)	(h, d)	6864
469	(0a, 20)	(
,  )	0a20
470	(70, 66)	(p, f)	7066
471	(47, 69)	(G, i)	4769
472	(7a, 6c)	(z, l)	7a6c
473	(77, 6d)	(w, m)	776d
474	(64, 77)	(d, w)	6477
475	(50, 6f)	(P, o)	506f
476	(48, 61)	(H, a)	4861
477	(4f, 66)	(O, f)	4f66
478	(50, 69)	(P, i)	5069
479	(6f, 7a)	(o, z)	6f7a
480	(72, 68)	(r, h)	7268
481	(57, 61)	(W, a)	5761
482	(44, 75)	(D, u)	4475
483	(3f, e2)	(3f, e2)	3fe2
484	(79, 66)	(y, f)	7966
485	(79, 63)	(y, c)	7963
486	(41, 72)	(A, r)	4172
487	(74, 66)	(t, f)	7466
488	(6b, 66)	(k, f)	6b66
489	(42, 72)	(B, r)	4272
490	(54, 72)	(T, r)	5472
491	(68, 62)	(h, b)	6862
492	(68, 73)	(h, s)	6873
493	(77, 62)	(w, b)	7762
494	(5a, 6f)	(Z, o)	5a6f
495	(74, 62)	(t, b)	7462
496	(6c, 72)	(l, r)	6c72
497	(4d, 65)	(M, e)	4d65
498	(64, 70)	(d, p)	6470
499	(54, 56)	(T, V)	5456
500	(54, 65)	(T, e)	5465
501	(78, 61)	(x, a)	7861
502	(65, 75)	(e, u)	6575
503	(44, 69)	(D, i)	4469
504	(63, 6e)	(c, n)	636e
505	(42, 61)	(B, a)	4261
506	(4e, 65)	(N, e)	4e65
507	(69, 71)	(i, q)	6971
508	(46, 6f)	(F, o)	466f
509	(52, 61)	(R, a)	5261
510	(62, 77)	(b, w)	6277
511	(20, 33)	( , 3)	2033
512	(73, 66)	(s, f)	7366
513	(55, 6e)	(U, n)	556e
514	(53, 65)	(S, e)	5365
515	(72, 77)	(r, w)	7277
516	(73, 64)	(s, d)	7364
517	(68, 6c)	(h, l)	686c
518	(5a, 69)	(Z, i)	5a69
519	(54, 77)	(T, w)	5477
520	(79, 67)	(y, g)	7967
521	(20, 27)	( , ')	2027
522	(70, 63)	(p, c)	7063
523	(4f, 75)	(O, u)	4f75
524	(20, 55)	( , U)	2055
525	(73, 67)	(s, g)	7367
526	(64, 63)	(d, c)	6463
527	(61, 65)	(a, e)	6165
528	(77, 79)	(w, y)	7779
529	(6d, 6c)	(m, l)	6d6c
530	(4f, 77)	(O, w)	4f77
531	(4b, 61)	(K, a)	4b61
532	(53, 6e)	(S, n)	536e
533	(42, 79)	(B, y)	4279
534	(59, 75)	(Y, u)	5975
535	(49, 73)	(I, s)	4973
536	(43, 6c)	(C, l)	436c
537	(65, 71)	(e, q)	6571
538	(6e, 78)	(n, x)	6e78
539	(52, 75)	(R, u)	5275
540	(77, 64)	(w, d)	7764
541	(6e, 72)	(n, r)	6e72
542	(6b, 75)	(k, u)	6b75
543	(47, 65)	(G, e)	4765
544	(54, 75)	(T, u)	5475
545	(6d, 63)	(m, c)	6d63
546	(70, 62)	(p, b)	7062
547	(79, 6c)	(y, l)	796c
548	(68, 77)	(h, w)	6877
549	(74, 6e)	(t, n)	746e
550	(6e, 70)	(n, p)	6e70
551	(2c, e2)	(2c, e2)	2ce2
552	(6b, 62)	(k, b)	6b62
553	(74, 6d)	(t, m)	746d
554	(6d, 6e)	(m, n)	6d6e
555	(27, 64)	(', d)	2764
556	(45, 6e)	(E, n)	456e
557	(78, 79)	(x, y)	7879
558	(53, 71)	(S, q)	5371
559	(53, 69)	(S, i)	5369
560	(4f, 72)	(O, r)	4f72
561	(52, 69)	(R, i)	5269
562	(62, 6a)	(b, j)	626a
563	(41, 62)	(A, b)	4162
564	(68, 6d)	(h, m)	686d
565	(50, 75)	(P, u)	5075
566	(45, 61)	(E, a)	4561
567	(22, 2c)	(", ,)	222c
568	(54, 61)	(T, a)	5461
569	(6b, 63)	(k, c)	6b63
570	(67, 7a)	(g, z)	677a
571	(53, 6b)	(S, k)	536b
572	(69, 75)	(i, u)	6975
573	(77, 75)	(w, u)	7775
574	(73, 72)	(s, r)	7372
575	(59, 61)	(Y, a)	5961
576	(51, 75)	(Q, u)	5175
577	(44, 65)	(D, e)	4465
578	(2e, 2e)	(., .)	2e2e
579	(20, 56)	( , V)	2056
580	(4e, 69)	(N, i)	4e69
581	(20, 0a)	( , 
)	200a
582	(53, 6c)	(S, l)	536c
583	(76, 72)	(v, r)	7672
584	(6e, 68)	(n, h)	6e68
585	(50, 72)	(P, r)	5072
586	(4b, 65)	(K, e)	4b65
587	(5a, 61)	(Z, a)	5a61
588	(67, 74)	(g, t)	6774
589	(20, 78)	( , x)	2078
590	(4e, 61)	(N, a)	4e61
591	(53, 6d)	(S, m)	536d
592	(70, 6d)	(p, m)	706d
593	(79, 64)	(y, d)	7964
594	(44, 72)	(D, r)	4472
595	(46, 61)	(F, a)	4661
596	(68, 71)	(h, q)	6871
597	(6b, 70)	(k, p)	6b70
598	(6e, 77)	(n, w)	6e77
599	(43, 72)	(C, r)	4372
600	(20, 51)	( , Q)	2051
601	(56, 65)	(V, e)	5665
602	(80, 93)	(80, 93)	8093
603	(75, 78)	(u, x)	7578
604	(6d, 74)	(m, t)	6d74
605	(43, 75)	(C, u)	4375
606	(5a, 65)	(Z, e)	5a65
607	(78, 75)	(x, u)	7875
608	(27, 2e)	(', .)	272e
609	(67, 64)	(g, d)	6764
610	(41, 75)	(A, u)	4175
611	(27, 76)	(', v)	2776
612	(9d, 2e)	(9d, 2e)	9d2e
613	(66, 73)	(f, s)	6673
614	(41, 63)	(A, c)	4163
615	(45, 78)	(E, x)	4578
616	(48, 75)	(H, u)	4875
617	(21, 27)	(!, ')	2127
618	(64, 66)	(d, f)	6466
619	(41, 76)	(A, v)	4176
620	(79, 72)	(y, r)	7972
621	(47, 61)	(G, a)	4761
622	(4d, 6d)	(M, m)	4d6d
623	(6f, 6a)	(o, j)	6f6a
624	(68, 68)	(h, h)	6868
625	(41, 64)	(A, d)	4164
626	(46, 75)	(F, u)	4675
627	(43, 69)	(C, i)	4369
628	(41, 68)	(A, h)	4168
629	(2e, 27)	(., ')	2e27
630	(47, 75)	(G, u)	4775
631	(56, 69)	(V, i)	5669
632	(77, 66)	(w, f)	7766
633	(61, 6a)	(a, j)	616a
634	(61, 61)	(a, a)	6161
635	(75, 6b)	(u, k)	756b
636	(72, 6a)	(r, j)	726a
637	(53, 63)	(S, c)	5363
638	(6b, 77)	(k, w)	6b77
639	(53, 77)	(S, w)	5377
640	(4f, 6f)	(O, o)	4f6f
641	(64, 74)	(d, t)	6474
642	(46, 65)	(F, e)	4665
643	(20, 58)	( , X)	2058
644	(74, 64)	(t, d)	7464
645	(20, 20)	( ,  )	2020
646	(55, 68)	(U, h)	5568
647	(77, 6b)	(w, k)	776b
648	(4e, 75)	(N, u)	4e75
649	(4f, 74)	(O, t)	4f74
650	(73, 62)	(s, b)	7362
651	(80, 94)	(80, 94)	8094
652	(6d, 77)	(m, w)	6d77
653	(20, 31)	( , 1)	2031
654	(56, 72)	(V, r)	5672
655	(6b, 6f)	(k, o)	6b6f
656	(79, 68)	(y, h)	7968
657	(78, 68)	(x, h)	7868
658	(4f, 70)	(O, p)	4f70
659	(45, 77)	(E, w)	4577
660	(43, 65)	(C, e)	4365
661	(45, 64)	(E, d)	4564
662	(3f, 27)	(?, ')	3f27
663	(63, 73)	(c, s)	6373
664	(45, 72)	(E, r)	4572
665	(47, 6c)	(G, l)	476c
666	(55, 70)	(U, p)	5570
667	(79, 70)	(y, p)	7970
668	(80, 98)	(80, 98)	8098
669	(3f, 21)	(?, !)	3f21
670	(6c, 68)	(l, h)	6c68
671	(50, 68)	(P, h)	5068
672	(49, 63)	(I, c)	4963
673	(49, 7a)	(I, z)	497a
674	(41, 70)	(A, p)	4170
675	(52, 79)	(R, y)	5279
676	(2d, 2d)	(-, -)	2d2d
677	(27, 22)	(', ")	2722
678	(55, 73)	(U, s)	5573
679	(66, 62)	(f, b)	6662
680	(74, 70)	(t, p)	7470
681	(79, 6e)	(y, n)	796e
682	(49, 6d)	(I, m)	496d
683	(64, 68)	(d, h)	6468
684	(6c, 6e)	(l, n)	6c6e
685	(4f, 78)	(O, x)	4f78
686	(6a, 69)	(j, i)	6a69
687	(61, 6f)	(a, o)	616f
688	(20, 32)	( , 2)	2032
689	(4f, 61)	(O, a)	4f61
690	(56, 61)	(V, a)	5661
691	(31, 30)	(1, 0)	3130
692	(27, 2c)	(', ,)	272c
693	(27, 27)	(', ')	2727
694	(9d, 2c)	(9d, 2c)	9d2c
695	(4b, 6e)	(K, n)	4b6e
696	(41, 67)	(A, g)	4167
697	(20, 35)	( , 5)	2035
698	(6e, 6d)	(n, m)	6e6d
699	(6e, 71)	(n, q)	6e71
700	(54, 79)	(T, y)	5479
701	(4c, 79)	(L, y)	4c79
702	(4f, 73)	(O, s)	4f73
703	(48, 6d)	(H, m)	486d
704	(4f, 69)	(O, i)	4f69
705	(77, 77)	(w, w)	7777
706	(57, 72)	(W, r)	5772
707	(4f, 76)	(O, v)	4f76
708	(6e, 7a)	(n, z)	6e7a
709	(75, 71)	(u, q)	7571
710	(2c, 27)	(,, ')	2c27
711	(4b, 79)	(K, y)	4b79
712	(49, 72)	(I, r)	4972
713	(80, a6)	(80, a6)	80a6
714	(66, 77)	(f, w)	6677
715	(20, 34)	( , 4)	2034
716	(75, 76)	(u, v)	7576
717	(68, 66)	(h, f)	6866
718	(4f, 63)	(O, c)	4f63
719	(41, 69)	(A, i)	4169
720	(52, 68)	(R, h)	5268
721	(4f, 4f)	(O, O)	4f4f
722	(59, 69)	(Y, i)	5969
723	(4d, 73)	(M, s)	4d73
724	(55, 67)	(U, g)	5567
725	(27, 21)	(', !)	2721
726	(27, 3f)	(', ?)	273f
727	(41, 77)	(A, w)	4177
728	(45, 73)	(E, s)	4573
729	(43, 44)	(C, D)	4344
730	(74, 7a)	(t, z)	747a
731	(49, 67)	(I, g)	4967
732	(78, 6f)	(x, o)	786f
733	(65, 6a)	(e, j)	656a
734	(53, 79)	(S, y)	5379
735	(62, 74)	(b, t)	6274
736	(22, 21)	(", !)	2221
737	(4f, 50)	(O, P)	4f50
738	(47, 77)	(G, w)	4777
739	(64, 6b)	(d, k)	646b
740	(6f, 4a)	(o, J)	6f4a
