ID	Token (bytes)	Token (decoded)	Length
276	6f75	'ou'	2
277	6173	'as'	2
278	6861	'ha'	2
279	206c	' l'	2
280	2069	' i'	2
281	2064	' d'	2
282	5468	'Th'	2
283	656e	'en'	2
284	2063	' c'	2
285	6172	'ar'	2
286	2070	' p'	2
287	6179	'ay'	2
288	206d	' m'	2
289	6d65	'me'	2
290	7665	've'	2
291	6f6d	'om'	2
292	6174	'at'	2
293	206f	' o'	2
294	6c65	'le'	2
295	6869	'hi'	2
296	7361	'sa'	2
297	6e65	'ne'	2
298	6973	'is'	2
299	6e67	'ng'	2
300	6f6e	'on'	2
301	206e	' n'	2
302	6579	'ey'	2
303	696d	'im'	2
304	7465	'te'	2
305	6964	'id'	2
306	6c6c	'll'	2
307	6b65	'ke'	2
308	616c	'al'	2
309	6f72	'or'	2
310	6361	'ca'	2
311	7374	'st'	2
312	2067	' g'	2
313	6561	'ea'	2
314	6f6f	'oo'	2
315	2053	' S'	2
316	6c61	'la'	2
317	6e74	'nt'	2
318	6c69	'li'	2
319	6c6f	'lo'	2
320	6f74	'ot'	2
321	696c	'il'	2
322	6164	'ad'	2
323	6169	'ai'	2
324	756e	'un'	2
325	7269	'ri'	2
326	7574	'ut'	2
327	7769	'wi'	2
328	6574	'et'	2
329	7368	'sh'	2
330	616d	'am'	2
331	6972	'ir'	2
332	706c	'pl'	2
333	656c	'el'	2
334	6269	'bi'	2
335	7365	'se'	2
336	726f	'ro'	2
337	7765	'we'	2
338	6465	'de'	2
339	6265	'be'	2
340	6573	'es'	2
341	2072	' r'	2
342	7279	'ry'	2
343	4865	'He'	2
344	2048	' H'	2
345	6461	'da'	2
346	6d61	'ma'	2
347	6c79	'ly'	2
348	686f	'ho'	2
349	6967	'ig'	2
350	6565	'ee'	2
351	6965	'ie'	2
352	6e6f	'no'	2
353	6f77	'ow'	2
354	7469	'ti'	2
355	736f	'so'	2
356	2022	' "'	2
357	666f	'fo'	2
358	6d6f	'mo'	2
359	5469	'Ti'	2
360	2075	' u'	2
361	6672	'fr'	2
362	6365	'ce'	2
363	7261	'ra'	2
364	7070	'pp'	2
365	4f6e	'On'	2
366	2079	' y'	2
367	6170	'ap'	2
368	7065	'pe'	2
369	7474	'tt'	2
370	6c64	'ld'	2
371	626f	'bo'	2
372	2065	' e'	2
373	5368	'Sh'	2
374	756c	'ul'	2
375	636b	'ck'	2
376	646f	'do'	2
377	796f	'yo'	2
378	2049	' I'	2
379	636f	'co'	2
380	6765	'ge'	2
381	6368	'ch'	2
382	7472	'tr'	2
383	706f	'po'	2
384	7573	'us'	2
385	6177	'aw'	2
386	6f6b	'ok'	2
387	7461	'ta'	2
388	6163	'ac'	2
389	7264	'rd'	2
390	6e61	'na'	2
391	6261	'ba'	2
392	7572	'ur'	2
393	6768	'gh'	2
394	7570	'up'	2
395	6f67	'og'	2
396	2076	' v'	2
397	6f66	'of'	2
398	6963	'ic'	2
399	6275	'bu'	2
400	204c	' L'	2
401	6473	'ds'	2
402	6f79	'oy'	2
403	7567	'ug'	2
404	6675	'fu'	2
405	676f	'go'	2
406	746c	'tl'	2
407	6f6c	'ol'	2
408	7079	'py'	2
409	4c69	'Li'	2
410	6469	'di'	2
411	6e63	'nc'	2
412	2042	' B'	2
413	7768	'wh'	2
414	6176	'av'	2
415	206b	' k'	2
416	6563	'ec'	2
417	204d	' M'	2
418	546f	'To'	2
419	2773	"'s"	2
420	6d69	'mi'	2
421	776f	'wo'	2
422	616b	'ak'	2
423	6665	'fe'	2
424	7061	'pa'	2
425	6669	'fi'	2
426	7274	'rt'	2
427	7369	'si'	2
428	2e22	'."'	2
429	6769	'gi'	2
430	6f76	'ov'	2
431	6e79	'ny'	2
432	6577	'ew'	2
433	7965	'ye'	2
434	736d	'sm'	2
435	6f70	'op'	2
436	696b	'ik'	2
437	4974	'It'	2
438	6761	'ga'	2
439	7069	'pi'	2
440	6874	'ht'	2
441	2122	'!"'	2
442	6b69	'ki'	2
443	656d	'em'	2
444	6772	'gr'	2
445	7473	'ts'	2
446	7563	'uc'	2
447	6167	'ag'	2
448	6d79	'my'	2
449	7565	'ue'	2
450	7072	'pr'	2
451	7973	'ys'	2
452	6f64	'od'	2
453	6576	'ev'	2
454	7273	'rs'	2
455	6c70	'lp'	2
456	6e69	'ni'	2
457	726b	'rk'	2
458	6569	'ei'	2
459	6175	'au'	2
460	2041	' A'	2
461	6661	'fa'	2
462	736b	'sk'	2
463	636c	'cl'	2
464	5361	'Sa'	2
465	6369	'ci'	2
466	6976	'iv'	2
467	206a	' j'	2
468	7375	'su'	2
469	5375	'Su'	2
470	4d61	'Ma'	2
471	666c	'fl'	2
472	726c	'rl'	2
473	6162	'ab'	2
474	7272	'rr'	2
475	4275	'Bu'	2
476	7075	'pu'	2
477	626c	'bl'	2
478	6e6b	'nk'	2
479	7373	'ss'	2
480	6e6e	'nn'	2
481	726e	'rn'	2
482	6e73	'ns'	2
483	6272	'br'	2
484	6578	'ex'	2
485	7275	'ru'	2
486	3f22	'?"'	2
487	7564	'ud'	2
488	7475	'tu'	2
489	776e	'wn'	2
490	6961	'ia'	2
491	4265	'Be'	2
492	7370	'sp'	2
493	6b6e	'kn'	2
494	756d	'um'	2
495	7363	'sc'	2
496	2774	"'t"	2
497	6372	'cr'	2
498	7479	'ty'	2
499	6178	'ax'	2
500	6f73	'os'	2
501	6570	'ep'	2
502	6c74	'lt'	2
503	6773	'gs'	2
504	204f	' O'	2
505	6875	'hu'	2
506	5768	'Wh'	2
507	6c6b	'lk'	2
508	7969	'yi'	2
509	6d70	'mp'	2
510	6472	'dr'	2
511	6f63	'oc'	2
512	6f69	'oi'	2
513	6c73	'ls'	2
514	6d6d	'mm'	2
515	6966	'if'	2
516	6674	'ft'	2
517	6374	'ct'	2
518	416e	'An'	2
519	6464	'dd'	2
520	6a75	'ju'	2
521	596f	'Yo'	2
522	2057	' W'	2
523	6f62	'ob'	2
524	6566	'ef'	2
525	7463	'tc'	2
526	4d6f	'Mo'	2
527	7569	'ui'	2
528	4d69	'Mi'	2
529	5370	'Sp'	2
530	6d75	'mu'	2
531	6c75	'lu'	2
532	6479	'dy'	2
533	6b73	'ks'	2
534	6166	'af'	2
535	6f78	'ox'	2
536	696f	'io'	2
537	6666	'ff'	2
538	6379	'cy'	2
539	6f61	'oa'	2
540	536f	'So'	2
541	6767	'gg'	2
542	2046	' F'	2
543	726d	'rm'	2
544	204a	' J'	2
545	6d62	'mb'	2
546	7669	'vi'	2
547	7377	'sw'	2
548	2059	' Y'	2
549	4c75	'Lu'	2
550	6279	'by'	2
551	7175	'qu'	2
552	7270	'rp'	2
553	2c22	',"'	2
554	736c	'sl'	2
555	426f	'Bo'	2
556	646e	'dn'	2
557	4869	'Hi'	2
558	6375	'cu'	2
559	5765	'We'	2
560	6b79	'ky'	2
561	4c65	'Le'	2
562	6a6f	'jo'	2
563	2044	' D'	2
564	6262	'bb'	2
565	656f	'eo'	2
566	7863	'xc'	2
567	6c77	'lw'	2
568	7870	'xp'	2
569	e280	<not UTF-8>	2
570	7266	'rf'	2
571	6970	'ip'	2
572	6872	'hr'	2
573	4e6f	'No'	2
574	676c	'gl'	2
575	446f	'Do'	2
576	5965	'Ye'	2
577	2045	' E'	2
578	4361	'Ca'	2
579	6e6c	'nl'	2
580	6879	'hy'	2
581	4672	'Fr'	2
582	416d	'Am'	2
583	6f65	'oe'	2
584	736e	'sn'	2
585	4173	'As'	2
586	4a61	'Ja'	2
587	2043	' C'	2
588	766f	'vo'	2
589	646c	'dl'	2
590	7379	'sy'	2
591	7a65	'ze'	2
592	6567	'eg'	2
593	6c66	'lf'	2
594	7477	'tw'	2
595	496e	'In'	2
596	796d	'ym'	2
597	4576	'Ev'	2
598	7562	'ub'	2
599	7267	'rg'	2
600	2071	' q'	2
601	4461	'Da'	2
602	697a	'iz'	2
603	7074	'pt'	2
604	0a0a	'\n\n'	2
605	776c	'wl'	2
606	6b61	'ka'	2
607	6775	'gu'	2
608	7961	'ya'	2
609	6e75	'nu'	2
610	6d73	'ms'	2
611	7371	'sq'	2
612	7874	'xt'	2
613	4b69	'Ki'	2
614	7566	'uf'	2
615	276d	"'m"	2
616	6978	'ix'	2
617	4a6f	'Jo'	2
618	7263	'rc'	2
619	204b	' K'	2
620	6475	'du'	2
621	617a	'az'	2
622	4669	'Fi'	2
623	2050	' P'	2
624	7073	'ps'	2
625	4166	'Af'	2
626	7772	'wr'	2
627	204e	' N'	2
628	4174	'At'	2
629	7975	'yu'	2
630	4c6f	'Lo'	2
631	6679	'fy'	2
632	6b6c	'kl'	2
633	466c	'Fl'	2
634	7561	'ua'	2
635	7068	'ph'	2
636	2052	' R'	2
637	6568	'eh'	2
638	7974	'yt'	2
639	7a7a	'zz'	2
640	7962	'yb'	2
641	809d	<not UTF-8>	2
642	809c	<not UTF-8>	2
643	576f	'Wo'	2
644	7661	'va'	2
645	7773	'ws'	2
646	416c	'Al'	2
647	676e	'gn'	2
648	20e2	<not UTF-8>	2
649	2047	' G'	2
650	6476	'dv'	2
651	6a65	'je'	2
652	6f68	'oh'	2
653	4269	'Bi'	2
654	207a	' z'	2
655	6e6a	'nj'	2
656	7a69	'zi'	2
657	7a79	'zy'	2
658	686e	'hn'	2
659	646d	'dm'	2
660	6462	'db'	2
661	6562	'eb'	2
662	6962	'ib'	2
663	4d72	'Mr'	2
664	6a61	'ja'	2
665	7865	'xe'	2
666	8099	<not UTF-8>	2
667	4a75	'Ju'	2
668	7977	'yw'	2
669	7262	'rb'	2
670	5265	'Re'	2
671	4a69	'Ji'	2
672	6467	'dg'	2
673	4a65	'Je'	2
674	6363	'cc'	2
675	656b	'ek'	2
676	6c6d	'lm'	2
677	7579	'uy'	2
678	6168	'ah'	2
679	476f	'Go'	2
680	222e	'".'	2
681	4f6b	'Ok'	2
682	7679	'vy'	2
683	7a6f	'zo'	2
684	436f	'Co'	2
685	6c63	'lc'	2
686	2772	"'r"	2
687	757a	'uz'	2
688	4772	'Gr'	2
689	6e66	'nf'	2
690	4f68	'Oh'	2
691	5769	'Wi'	2
692	7869	'xi'	2
693	6e76	'nv'	2
694	506c	'Pl'	2
695	486f	'Ho'	2
696	6c76	'lv'	2
697	6779	'gy'	2
698	657a	'ez'	2
699	456d	'Em'	2
700	4368	'Ch'	2
701	5065	'Pe'	2
702	7276	'rv'	2
703	7a61	'za'	2
704	5374	'St'	2
705	4f4b	'OK'	2
706	526f	'Ro'	2
707	426c	'Bl'	2
708	4d79	'My'	2
709	6d66	'mf'	2
710	205a	' Z'	2
711	21e2	<not UTF-8>	2
712	4d75	'Mu'	2
713	2ee2	<not UTF-8>	2
714	202d	' -'	2
715	4c61	'La'	2
716	6c62	'lb'	2
717	456c	'El'	2
718	4f6c	'Ol'	2
719	6273	'bs'	2
720	5061	'Pa'	2
721	6e62	'nb'	2
722	276c	"'l"	2
723	4966	'If'	2
724	706b	'pk'	2
725	6864	'hd'	2
726	0a20	'\n '	2
727	7066	'pf'	2
728	4769	'Gi'	2
729	7a6c	'zl'	2
730	776d	'wm'	2
731	6477	'dw'	2
732	506f	'Po'	2
733	4861	'Ha'	2
734	4f66	'Of'	2
735	5069	'Pi'	2
736	6f7a	'oz'	2
737	7268	'rh'	2
738	5761	'Wa'	2
739	4475	'Du'	2
740	3fe2	<not UTF-8>	2
741	7966	'yf'	2
742	7963	'yc'	2
743	4172	'Ar'	2
744	7466	'tf'	2
745	6b66	'kf'	2
746	4272	'Br'	2
747	5472	'Tr'	2
748	6862	'hb'	2
749	6873	'hs'	2
750	7762	'wb'	2
751	5a6f	'Zo'	2
752	7462	'tb'	2
753	6c72	'lr'	2
754	4d65	'Me'	2
755	6470	'dp'	2
756	5456	'TV'	2
757	5465	'Te'	2
758	7861	'xa'	2
759	6575	'eu'	2
760	4469	'Di'	2
761	636e	'cn'	2
762	4261	'Ba'	2
763	4e65	'Ne'	2
764	6971	'iq'	2
765	466f	'Fo'	2
766	5261	'Ra'	2
767	6277	'bw'	2
768	2033	' 3'	2
769	7366	'sf'	2
770	556e	'Un'	2
771	5365	'Se'	2
772	7277	'rw'	2
773	7364	'sd'	2
774	686c	'hl'	2
775	5a69	'Zi'	2
776	5477	'Tw'	2
777	7967	'yg'	2
778	2027	" '"	2
779	7063	'pc'	2
780	4f75	'Ou'	2
781	2055	' U'	2
782	7367	'sg'	2
783	6463	'dc'	2
784	6165	'ae'	2
785	7779	'wy'	2
786	6d6c	'ml'	2
787	4f77	'Ow'	2
788	4b61	'Ka'	2
789	536e	'Sn'	2
790	4279	'By'	2
791	5975	'Yu'	2
792	4973	'Is'	2
793	436c	'Cl'	2
794	6571	'eq'	2
795	6e78	'nx'	2
796	5275	'Ru'	2
797	7764	'wd'	2
798	6e72	'nr'	2
799	6b75	'ku'	2
800	4765	'Ge'	2
801	5475	'Tu'	2
802	6d63	'mc'	2
803	7062	'pb'	2
804	796c	'yl'	2
805	6877	'hw'	2
806	746e	'tn'	2
807	6e70	'np'	2
808	2ce2	<not UTF-8>	2
809	6b62	'kb'	2
810	746d	'tm'	2
811	6d6e	'mn'	2
812	2764	"'d"	2
813	456e	'En'	2
814	7879	'xy'	2
815	5371	'Sq'	2
816	5369	'Si'	2
817	4f72	'Or'	2
818	5269	'Ri'	2
819	626a	'bj'	2
820	4162	'Ab'	2
821	686d	'hm'	2
822	5075	'Pu'	2
823	4561	'Ea'	2
824	222c	'",'	2
825	5461	'Ta'	2
826	6b63	'kc'	2
827	677a	'gz'	2
828	536b	'Sk'	2
829	6975	'iu'	2
830	7775	'wu'	2
831	7372	'sr'	2
832	5961	'Ya'	2
833	5175	'Qu'	2
834	4465	'De'	2
835	2e2e	'..'	2
836	2056	' V'	2
837	4e69	'Ni'	2
838	200a	' \n'	2
839	536c	'Sl'	2
840	7672	'vr'	2
841	6e68	'nh'	2
842	5072	'Pr'	2
843	4b65	'Ke'	2
844	5a61	'Za'	2
845	6774	'gt'	2
846	2078	' x'	2
847	4e61	'Na'	2
848	536d	'Sm'	2
849	706d	'pm'	2
850	7964	'yd'	2
851	4472	'Dr'	2
852	4661	'Fa'	2
853	6871	'hq'	2
854	6b70	'kp'	2
855	6e77	'nw'	2
856	4372	'Cr'	2
857	2051	' Q'	2
858	5665	'Ve'	2
859	8093	<not UTF-8>	2
860	7578	'ux'	2
861	6d74	'mt'	2
862	4375	'Cu'	2
863	5a65	'Ze'	2
864	7875	'xu'	2
865	272e	"'."	2
866	6764	'gd'	2
867	4175	'Au'	2
868	2776	"'v"	2
869	9d2e	<not UTF-8>	2
870	6673	'fs'	2
871	4163	'Ac'	2
872	4578	'Ex'	2
873	4875	'Hu'	2
874	2127	"!'"	2
875	6466	'df'	2
876	4176	'Av'	2
877	7972	'yr'	2
878	4761	'Ga'	2
879	4d6d	'Mm'	2
880	6f6a	'oj'	2
881	6868	'hh'	2
882	4164	'Ad'	2
883	4675	'Fu'	2
884	4369	'Ci'	2
885	4168	'Ah'	2
886	2e27	".'"	2
887	4775	'Gu'	2
888	5669	'Vi'	2
889	7766	'wf'	2
890	616a	'aj'	2
891	6161	'aa'	2
892	756b	'uk'	2
893	726a	'rj'	2
894	5363	'Sc'	2
895	6b77	'kw'	2
896	5377	'Sw'	2
897	4f6f	'Oo'	2
898	6474	'dt'	2
899	4665	'Fe'	2
900	2058	' X'	2
901	7464	'td'	2
902	2020	'  '	2
903	5568	'Uh'	2
904	776b	'wk'	2
905	4e75	'Nu'	2
906	4f74	'Ot'	2
907	7362	'sb'	2
908	8094	<not UTF-8>	2
909	6d77	'mw'	2
910	2031	' 1'	2
911	5672	'Vr'	2
912	6b6f	'ko'	2
913	7968	'yh'	2
914	7868	'xh'	2
915	4f70	'Op'	2
916	4577	'Ew'	2
917	4365	'Ce'	2
918	4564	'Ed'	2
919	3f27	"?'"	2
920	6373	'cs'	2
921	4572	'Er'	2
922	476c	'Gl'	2
923	5570	'Up'	2
924	7970	'yp'	2
925	8098	<not UTF-8>	2
926	3f21	'?!'	2
927	6c68	'lh'	2
928	5068	'Ph'	2
929	4963	'Ic'	2
930	497a	'Iz'	2
931	4170	'Ap'	2
932	5279	'Ry'	2
933	2d2d	'--'	2
934	2722	'\'"'	2
935	5573	'Us'	2
936	6662	'fb'	2
937	7470	'tp'	2
938	796e	'yn'	2
939	496d	'Im'	2
940	6468	'dh'	2
941	6c6e	'ln'	2
942	4f78	'Ox'	2
943	6a69	'ji'	2
944	616f	'ao'	2
945	2032	' 2'	2
946	4f61	'Oa'	2
947	5661	'Va'	2
948	3130	'10'	2
949	272c	"',"	2
950	2727	"''"	2
951	9d2c	<not UTF-8>	2
952	4b6e	'Kn'	2
953	4167	'Ag'	2
954	2035	' 5'	2
955	6e6d	'nm'	2
956	6e71	'nq'	2
957	5479	'Ty'	2
958	4c79	'Ly'	2
959	4f73	'Os'	2
960	486d	'Hm'	2
961	4f69	'Oi'	2
962	7777	'ww'	2
963	5772	'Wr'	2
964	4f76	'Ov'	2
965	6e7a	'nz'	2
966	7571	'uq'	2
967	2c27	",'"	2
968	4b79	'Ky'	2
969	4972	'Ir'	2
970	80a6	<not UTF-8>	2
971	6677	'fw'	2
972	2034	' 4'	2
973	7576	'uv'	2
974	6866	'hf'	2
975	4f63	'Oc'	2
976	4169	'Ai'	2
977	5268	'Rh'	2
978	4f4f	'OO'	2
979	5969	'Yi'	2
980	4d73	'Ms'	2
981	5567	'Ug'	2
982	2721	"'!"	2
983	273f	"'?"	2
984	4177	'Aw'	2
985	4573	'Es'	2
986	4344	'CD'	2
987	747a	'tz'	2
988	4967	'Ig'	2
989	786f	'xo'	2
990	656a	'ej'	2
991	5379	'Sy'	2
992	6274	'bt'	2
993	2221	'"!'	2
994	4f50	'OP'	2
995	4777	'Gw'	2
996	646b	'dk'	2
997	6f4a	'oJ'	2
998	4161	'Aa'	2
999	4845	'HE'	2
1000	5448	'TH'	2
1001	566f	'Vo'	2
1002	6770	'gp'	2
1003	4e47	'NG'	2
1004	6870	'hp'	2
1005	3230	'20'	2
1006	3132	'12'	2
1007	4574	'Et'	2
1008	5241	'RA'	2
1009	2039	' 9'	2
1010	7575	'uu'	2
1011	7770	'wp'	2
1012	504f	'PO'	2
1013	6977	'iw'	2
1014	4479	'Dy'	2
1015	4976	'Iv'	2
1016	4352	'CR'	2
1017	5348	'SH'	2
1018	424f	'BO'	2
1019	3030	'00'	2
1020	4142	'AB'	2
1021	4153	'AS'	2
1022	6762	'gb'	2
1023	556d	'Um'	2
1024	6979	'iy'	2
1025	646a	'dj'	2
1026	4243	'BC'	2
1027	6b6b	'kk'	2
1028	4567	'Eg'	2
1029	992e	<not UTF-8>	2
1030	3a22	':"'	2
1031	3f2c	'?,'	2
1032	7568	'uh'	2
1033	212c	'!,'	2
1034	6c67	'lg'	2
1035	4e4f	'NO'	2
1036	6b6d	'km'	2
1037	4545	'EE'	2
1038	c3a9	'é'	2
1039	4f4d	'OM'	2
1040	4152	'AR'	2
1041	414e	'AN'	2
1042	4f79	'Oy'	2
1043	524f	'RO'	2
1044	4373	'Cs'	2
1045	3131	'11'	2
1046	4179	'Ay'	2
1047	4b6f	'Ko'	2
1048	4456	'DV'	2
1049	2038	' 8'	2
1050	5644	'VD'	2
1051	202e	' .'	2
1052	6b67	'kg'	2
1053	676d	'gm'	2
1054	4245	'BE'	2
1055	2036	' 6'	2
1056	2121	'!!'	2
1057	3931	'91'	2
1058	4550	'EP'	2
1059	4f41	'OA'	2
1060	2028	' ('	2
1061	213f	'!?'	2
1062	7767	'wg'	2
1063	4141	'AA'	2
1064	756f	'uo'	2
1065	2037	' 7'	2
1066	4f62	'Ob'	2
1067	5354	'ST'	2
1068	7774	'wt'	2
1069	4241	'BA'	2
1070	7a6d	'zm'	2
1071	3135	'15'	2
1072	4143	'AC'	2
1073	4b72	'Kr'	2
1074	544f	'TO'	2
1075	6171	'aq'	2
1076	6f4d	'oM'	2
1077	4f4e	'ON'	2
1078	6766	'gf'	2
1079	4150	'AP'	2
1080	4c41	'LA'	2
1081	3330	'30'	2
1082	494e	'IN'	2
1083	6d68	'mh'	2
1084	4768	'Gh'	2
1085	534e	'SN'	2
1086	4e41	'NA'	2
1087	6142	'aB'	2
1088	5350	'SP'	2
1089	5272	'Rr'	2
1090	6863	'hc'	2
1091	66c3	<not UTF-8>	2
1092	2024	' $'	2
1093	4569	'Ei'	2
1094	504c	'PL'	2
1095	6276	'bv'	2
1096	7077	'pw'	2
